"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 05:35:55 GMT 2024","Mon Jun 03 05:35:55 GMT 2024","262","API Smoke Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest","API: Build Configuration Test"
"broken","Mon Jun 03 05:35:56 GMT 2024","Mon Jun 03 05:35:56 GMT 2024","65","UI Smoke Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject","UI: Authorized User Should Be Able To Create New Project"
"passed","Mon Jun 03 05:35:18 GMT 2024","Mon Jun 03 05:35:47 GMT 2024","28512","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","setAgent","setAgent","Service test for agent setup"
