"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 14:31:30 GMT 2024","Wed May 29 14:31:49 GMT 2024","19757","UI Smoke Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject","UI: Authorized User Should Be Able To Create New Project"
"passed","Wed May 29 14:31:28 GMT 2024","Wed May 29 14:31:29 GMT 2024","1556","API Smoke Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest","API: Build Configuration Test"
"passed","Wed May 29 14:30:51 GMT 2024","Wed May 29 14:31:20 GMT 2024","29086","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","setAgent","setAgent",""
