"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 14:44:06 GMT 2024","Wed May 29 14:44:07 GMT 2024","1342","API Smoke Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest","API: Build Configuration Test"
"passed","Wed May 29 14:44:07 GMT 2024","Wed May 29 14:44:28 GMT 2024","21008","UI Smoke Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject","UI: Authorized User Should Be Able To Create New Project"
"passed","Wed May 29 14:43:30 GMT 2024","Wed May 29 14:43:58 GMT 2024","28293","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","setAgent","setAgent","Service test for agent setup"
