"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 14:53:46 GMT 2024","Fri May 31 14:54:16 GMT 2024","29158","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","setAgent","setAgent","Service test for agent setup"
"broken","Fri May 31 14:54:24 GMT 2024","Fri May 31 14:54:24 GMT 2024","276","API Smoke Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest","API: Build Configuration Test"
"broken","Fri May 31 14:54:24 GMT 2024","Fri May 31 14:54:25 GMT 2024","90","UI Smoke Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject","UI: Authorized User Should Be Able To Create New Project"
